Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
IACI,IAC/InterActiveCorp,45.15,43.4%,2.59,21.8,4.6%,17.44,2.343,-5.99,Consumer Services,Other Specialty Stores,68.8%,68.1%,54.4%,-17.8%
ICAD,icad inc.,4.48,25.6%,26.73,46.5,2.1%,0.17,0.118,-1.01,Health Care,Medical/Dental Instruments,-190.3%,-4.2%,70.6%,226.2%
IEP,Icahn Enterprises L.P.,40.43,38.5%,0.23,2.8,35.9%,172.42,18.299,-10.57,Capital Goods,Auto Parts:O.E.M.,33.3%,-8.5%,-3.5%,132.6%
ICFI,"ICF International, Inc.",22.62,179.4%,0.54,6.7,15.0%,41.65,5.688,-15.23,Consumer Services,Professional Services,149.2%,172.8%,180.4%,215.0%
ICGE,"ICG Group, Inc.",10.84,-86.4%,N/A,N/A,N/A,-3.50,-0.540,1.90,Consumer Services,Professional Services,-0.2%,-1.3%,-261.7%,-82.5%
ICLR,ICON plc,28.21,32.7%,1.59,15.0,6.7%,17.73,2.090,-3.17,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-2.6%,17.7%,81.5%,34.3%
ICON,"Iconix Brand Group, Inc.",20.91,2548.3%,0.36,4.6,21.9%,57.69,6.774,-10.05,Consumer Non-Durables,Shoe Manufacturing,1661.1%,2397.6%,1734.5%,4399.8%
ICUI,"ICU Medical, Inc.",60.11,31.4%,1.26,13.2,7.6%,47.57,3.939,8.19,Health Care,Medical/Dental Instruments,40.8%,24.2%,36.6%,23.9%
IDIX,"Idenix Pharmaceuticals, Inc.",5.15,-184.4%,N/A,N/A,N/A,-2.76,-0.297,0.22,Consumer Durables,Major Pharmaceuticals,-227.2%,-110.7%,-141.4%,-258.3%
INVE,"Identive Group, Inc.",1.40,-111.0%,N/A,N/A,N/A,-3.18,-0.269,-0.49,Technology,Computer peripheral equipment,-58.7%,-151.5%,-106.2%,-127.6%
IDRA,"Idera Pharmaceuticals, Inc.",0.82,-224.6%,N/A,N/A,N/A,-2.38,-0.278,0.40,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-573.8%,-598.2%,-497.3%,770.8%
IDXX,"IDEXX Laboratories, Inc.",95.68,63.8%,2.19,20.5,4.9%,43.69,4.931,-5.62,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,67.9%,59.1%,61.0%,67.3%
IGTE,iGATE Corporation,15.82,64.2%,0.83,9.1,11.0%,19.05,3.697,-17.91,Technology,EDP Services,94.5%,65.9%,51.5%,44.8%
IRG,"Ignite Restaurant Group, Inc.",13.23,N/A,N/A,N/A,N/A,N/A,N/A,-3.47,Consumer Services,Restaurants,8.7%,17.7%,N/A,N/A
IGOI,"iGo, Inc",0.31,-28.2%,N/A,N/A,N/A,-0.35,-0.060,0.25,Technology,Computer peripheral equipment,-104.2%,-75.4%,19.2%,47.5%
IIVI,II-VI Incorporated,17.18,27.6%,1.17,11.7,8.5%,14.71,1.439,0.32,Capital Goods,Electronic Components,27.1%,28.3%,33.9%,21.2%
IKAN,"Ikanos Communications, Inc.",1.51,-27.8%,N/A,N/A,N/A,-1.10,-0.135,0.26,Public Utilities,Telecommunications Equipment,14.7%,-37.5%,-70.8%,-17.5%
IKNX,Ikonics Corporation,9.05,9.5%,1.51,16.4,6.1%,6.01,0.474,1.27,Miscellaneous,Industrial Machinery/Components,2.3%,11.9%,7.8%,16.0%
ILMN,"Illumina, Inc.",51.22,156.9%,1.42,14.2,7.0%,36.18,3.562,0.56,Capital Goods,Biotechnology: Laboratory Analytical Instruments,164.8%,164.1%,142.8%,155.8%
ISNS,"Image Sensing Systems, Inc.",4.99,168.9%,0.34,3.2,31.5%,14.66,1.418,0.48,Capital Goods,Industrial Machinery/Components,-143.2%,25.5%,334.0%,459.2%
IMMR,Immersion Corporation,6.39,-114.6%,N/A,N/A,N/A,-1.28,-0.250,1.22,Technology,Computer peripheral equipment,58.4%,-13.2%,-185.7%,-318.0%
ICCC,ImmuCell Corporation,4.10,-20.2%,N/A,N/A,N/A,-2.99,-0.398,0.99,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-15.7%,-29.8%,-16.2%,-19.0%
IMGN,"ImmunoGen, Inc.",12.92,-67.9%,N/A,N/A,N/A,-2.91,-0.368,0.77,Consumer Durables,Major Pharmaceuticals,-88.6%,-29.1%,-110.0%,-44.2%
IMMU,"Immunomedics, Inc.",2.94,-4.7%,17.52,N/A,N/A,0.17,-0.017,0.34,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,7.2%,-53.6%,-41.2%,68.8%
IPXL,"Impax Laboratories, Inc.",20.23,79.5%,0.82,8.0,12.5%,24.74,2.246,2.28,Consumer Durables,Major Pharmaceuticals,13.1%,248.8%,-0.5%,56.7%
IMRS,Imris Inc,3.56,-125.4%,N/A,N/A,N/A,-4.00,-0.446,0.46,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-135.1%,-115.3%,-91.6%,-159.5%
SAAS,"inContact, Inc.",5.25,-5.0%,N/A,N/A,N/A,-0.49,-0.041,-0.08,Public Utilities,Telecommunications Equipment,-20.5%,11.5%,2.4%,-13.3%
INCY,Incyte Corporation,16.04,-175.6%,N/A,N/A,N/A,-6.92,-0.494,-1.98,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-552.8%,369.9%,38.7%,-558.4%
IDSA,"Industrial Services of America, Inc.",2.49,5.9%,N/A,20.3,4.9%,-1.77,0.416,-5.92,Basic Industries,Miscellaneous,24.1%,-13.3%,-17.2%,30.1%
INFN,Infinera Corporation,5.80,-4.2%,N/A,N/A,N/A,-0.18,-0.064,0.46,Public Utilities,Telecommunications Equipment,-10.2%,18.9%,-47.1%,21.7%
INFI,"Infinity Pharmaceuticals, Inc.",29.79,-85.7%,N/A,N/A,N/A,-5.77,-0.592,0.16,Consumer Durables,Major Pharmaceuticals,-136.0%,-120.8%,-31.6%,-54.3%
INFA,Informatica Corporation,29.36,231.7%,1.54,16.0,6.3%,19.12,1.714,1.98,Technology,Computer Software: Prepackaged Software,312.8%,243.4%,154.1%,216.7%
III,"Information Services Group, Inc.",1.12,133.6%,2.45,12.3,8.1%,0.46,0.284,-2.38,Consumer Services,Professional Services,-133.0%,59.1%,69.8%,538.5%
IFON,InfoSonics Corp,0.63,169.9%,0.38,2.0,49.5%,1.67,0.131,0.37,Consumer Non-Durables,Electronic Components,0.3%,1838.4%,-2070.0%,910.9%
IMKTA,"Ingles Markets, Incorporated",17.42,-3.3%,N/A,N/A,N/A,N/A,N/A,-48.64,Consumer Services,Food Chains,-4.0%,-2.2%,-3.3%,-3.8%
INWK,"InnerWorkings, Inc.",12.93,151.5%,2.61,17.8,5.6%,4.96,1.020,-5.24,Consumer Durables,Containers/Packaging,136.5%,61.9%,121.7%,285.8%
INOD,Innodata Inc.,3.91,6.1%,4.71,44.4,2.2%,0.83,0.089,-0.06,Technology,EDP Services,-15.2%,4.8%,35.8%,-0.9%
IPHS,"Innophos Holdings, Inc.",45.80,26.4%,0.97,9.8,10.2%,47.20,5.911,-11.90,Consumer Durables,Specialty Chemicals,10.0%,13.0%,42.6%,40.0%
IOSP,Innospec Inc.,31.49,34.8%,2.29,18.9,5.3%,13.77,1.999,-6.22,Basic Industries,Major Chemicals,19.9%,34.2%,77.7%,7.3%
INOC,Innotrac Corporation,2.95,0.9%,N/A,112.0,0.9%,-0.51,0.034,-0.85,Miscellaneous,Business Services,2.2%,-8.9%,13.1%,-2.8%
ISSC,"Innovative Solutions and Support, Inc.",4.70,12.9%,N/A,N/A,N/A,N/A,N/A,2.25,Technology,EDP Services,-10.7%,24.4%,21.1%,16.6%
NSIT,"Insight Enterprises, Inc.",17.53,30.3%,N/A,18.1,5.5%,-1.73,2.368,-25.42,Consumer Services,Catalog/Specialty Distribution,38.3%,34.3%,36.2%,12.1%
ISIG,"Insignia Systems, Inc.",1.74,603.2%,0.06,0.2,486.6%,26.97,2.576,1.21,Consumer Services,Advertising,2269.5%,-173.0%,66.4%,250.0%
INSM,"Insmed, Inc.",6.46,N/A,N/A,N/A,N/A,N/A,N/A,2.26,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,-2356.8%
IIIN,"Insteel Industries, Inc.",11.95,-4.1%,N/A,N/A,N/A,-7.43,-0.410,-3.33,Capital Goods,Steel/Iron Ore,-1.7%,-11.8%,-0.5%,-2.4%
PODD,Insulet Corporation,21.72,-181.0%,N/A,N/A,N/A,-16.83,-1.592,-0.92,Health Care,Medical/Dental Instruments,-92.0%,-132.7%,-200.5%,-298.7%
IART,Integra LifeSciences Holdings Corporation,38.59,67.3%,0.91,9.4,10.6%,42.37,6.273,-20.36,Capital Goods,Biotechnology: Laboratory Analytical Instruments,39.9%,60.1%,115.9%,53.1%
IDTI,"Integrated Device Technology, Inc.",6.80,-2.3%,6.68,N/A,N/A,1.02,-0.056,1.58,Technology,Semiconductors,-6.4%,-4.1%,-4.2%,5.3%
IESC,"Integrated Electrical Services, Inc.",4.88,N/A,N/A,N/A,N/A,N/A,N/A,-5.36,Capital Goods,Engineering & Construction,-38.0%,-48.1%,30.8%,N/A
ISSI,"Integrated Silicon Solution, Inc.",9.00,15.0%,N/A,N/A,N/A,N/A,N/A,0.41,Technology,Semiconductors,42.5%,-5.3%,-2.4%,25.3%
INTC,Intel Corporation,20.53,27.6%,0.68,7.0,14.3%,30.16,3.224,-2.08,Technology,Semiconductors,41.1%,34.5%,16.0%,18.9%
IPCI,Intellipharmaceutics International Inc.,2.23,N/A,N/A,N/A,N/A,N/A,N/A,-0.31,Consumer Durables,Major Pharmaceuticals,-217.2%,-206.4%,N/A,N/A
IPAR,"Inter Parfums, Inc.",20.04,182.1%,1.17,11.3,8.9%,17.19,2.229,-5.09,Consumer Non-Durables,Package Goods/Cosmetics,-7.5%,210.6%,478.9%,46.6%
IBKR,"Interactive Brokers Group, Inc.",14.73,N/A,N/A,N/A,N/A,N/A,N/A,-291.16,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
ININ,"Interactive Intelligence Group, Inc.",29.97,86.8%,1.68,16.2,6.2%,17.81,1.956,-1.75,Technology,Computer Software: Prepackaged Software,82.6%,132.1%,66.4%,65.9%
ICPT,"Intercept Pharmaceuticals, Inc.",34.58,N/A,N/A,N/A,N/A,N/A,N/A,5.25,Consumer Durables,Major Pharmaceuticals,91.2%,N/A,N/A,N/A
IDCC,"InterDigital, Inc.",42.80,235.8%,1.29,13.3,7.5%,33.15,2.942,3.73,Miscellaneous,Multi-Sector Companies,-8.3%,482.5%,363.6%,105.3%
IFSIA,"Interface, Inc.",14.69,5.4%,N/A,55.3,1.8%,-2.82,0.387,-6.68,Consumer Durables,Home Furnishings,0.2%,2.1%,5.6%,13.6%
IMI,"Intermolecular, Inc.",7.50,N/A,N/A,N/A,N/A,N/A,N/A,0.76,Technology,Semiconductors,-31.6%,-5.2%,N/A,N/A
ITMN,"InterMune, Inc.",9.67,N/A,N/A,N/A,N/A,N/A,N/A,2.28,Consumer Durables,Major Pharmaceuticals,-516.9%,260.0%,-483.5%,N/A
INAP,Internap Network Services Corporation,6.11,2.5%,N/A,41.6,2.4%,-0.45,0.207,-2.52,Technology,"Computer Software: Programming, Data Processing",-3.7%,3.8%,3.4%,6.5%
ISCA,International Speedway Corporation,26.19,3.5%,57.73,27.0,3.7%,0.45,1.514,-14.69,Consumer Services,Services-Misc. Amusement & Recreation,2.4%,-3.0%,6.8%,7.7%
IGLD,Internet Gold Golden Lines Ltd.,4.31,21890.1%,0.00,0.0,11687.8%,291669.50,29191.495,-245.45,Public Utilities,Telecommunications Equipment,27.3%,87410.0%,60.5%,62.6%
IIJI,"Internet Initiative Japan, Inc.",11.04,28.7%,0.00,2.1,47.8%,38606.83,4881.205,-10205.22,Technology,"Computer Software: Programming, Data Processing",27.0%,34.1%,26.3%,27.4%
PTNT,Internet Patents Corporation,3.65,11.6%,0.42,-761.0,-0.1%,8.69,0.007,8.63,Miscellaneous,Business Services,-62.7%,167.6%,-40.2%,-18.3%
INPH,Interphase Corporation,2.75,-42.7%,N/A,N/A,N/A,-3.48,-0.424,0.76,Technology,Computer Communications Equipment,3.1%,-102.0%,-35.9%,-36.0%
INTX,"Intersections, Inc.",9.48,46.2%,0.54,5.7,17.4%,17.64,1.920,-1.56,Technology,EDP Services,63.4%,79.0%,19.0%,23.2%
ISIL,Intersil Corporation,8.09,49.2%,0.70,7.2,13.9%,11.52,1.214,-0.62,Technology,Semiconductors,30.1%,67.2%,37.7%,61.7%
IILG,"Interval Leisure Group, Inc.",19.44,119.0%,1.08,10.5,9.5%,17.98,2.727,-9.29,Finance,Real Estate,91.8%,105.4%,118.0%,160.8%
INTT,inTest Corporation,2.58,31.9%,1.22,13.7,7.3%,2.11,0.125,0.86,Capital Goods,Electrical Products,120.7%,158.7%,-105.5%,-46.3%
IVAC,"Intevac, Inc.",4.70,-16.5%,N/A,N/A,N/A,-1.91,-0.390,1.99,Technology,Industrial Machinery/Components,-57.9%,114.1%,-63.6%,-58.7%
INTL,INTL FCStone Inc.,17.53,N/A,N/A,N/A,N/A,N/A,N/A,-104.94,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
IIN,IntriCon Corporation,4.27,-5.8%,N/A,N/A,N/A,-8.01,-0.403,-3.98,Capital Goods,Electrical Products,-10.4%,-5.0%,-5.2%,-2.7%
INTU,Intuit Inc.,60.18,86.0%,1.53,14.8,6.7%,39.29,4.333,-4.04,Technology,Computer Software: Prepackaged Software,97.0%,86.6%,85.0%,75.4%
ISRG,"Intuitive Surgical, Inc.",533.11,358.0%,1.83,18.8,5.3%,290.72,27.534,15.38,Health Care,Industrial Specialties,351.5%,365.5%,324.0%,391.0%
SNAK,"Inventure Foods, Inc.",6.42,7.2%,N/A,43.1,2.3%,-0.76,0.217,-2.93,Consumer Non-Durables,Packaged Foods,2.5%,11.9%,4.0%,10.3%
IRET,Investors Real Estate Trust,8.69,N/A,N/A,N/A,N/A,N/A,N/A,-12.16,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
IPAS,iPass Inc.,1.74,-7.6%,N/A,N/A,N/A,-0.33,-0.033,-0.00,Technology,EDP Services,-26.1%,-4.3%,9.3%,-9.2%
IPCM,"IPC The Hospitalist Company, Inc.",38.54,316.5%,1.30,12.6,7.9%,29.57,3.404,-4.47,Health Care,Hospital/Nursing Management,286.0%,366.7%,343.7%,269.8%
IPGP,IPG Photonics Corporation,60.41,33.8%,3.14,33.5,3.0%,19.25,1.755,1.70,Technology,Semiconductors,55.8%,35.1%,20.9%,23.6%
IRIX,IRIDEX Corporation,3.91,29.1%,1.34,13.5,7.4%,2.92,0.281,0.12,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,18.2%,34.7%,73.2%,-9.7%
IRDM,Iridium Communications Inc,5.76,N/A,N/A,N/A,N/A,N/A,N/A,-7.15,Consumer Durables,Telecommunications Equipment,21.4%,30.5%,N/A,N/A
IRBT,iRobot Corporation,18.58,112.3%,0.73,6.8,14.6%,25.61,2.219,3.42,Consumer Durables,Consumer Electronics/Appliances,140.7%,145.2%,101.2%,62.3%
IRWD,"Ironwood Pharmaceuticals, Inc.",10.76,-157.4%,N/A,N/A,N/A,-8.09,-0.869,0.60,Consumer Durables,Major Pharmaceuticals,-156.6%,-203.9%,-22.3%,-246.7%
ISIS,"Isis Pharmaceuticals, Inc.",9.98,11.9%,4.99,57.2,1.7%,2.00,0.169,0.31,Consumer Durables,Major Pharmaceuticals,-160.0%,-109.7%,-221.3%,538.5%
ISLE,"Isle of Capri Casinos, Inc.",5.24,-2.1%,N/A,N/A,N/A,-40.82,-0.861,-32.21,Consumer Services,Hotels/Resorts,-2.9%,-3.0%,-4.6%,2.2%
ISRL,"Isramco, Inc.",100.02,-2.3%,N/A,N/A,N/A,-68.20,-2.002,-48.18,Energy,Oil & Gas Production,-5.1%,-5.4%,-4.8%,5.9%
ITRI,"Itron, Inc.",44.48,31.5%,2.69,16.6,6.0%,16.53,4.266,-26.13,Capital Goods,Electrical Products,38.3%,42.6%,11.5%,33.5%
ITRN,Ituran Location and Control Ltd.,12.87,51.7%,0.16,1.9,52.7%,79.48,8.221,-2.73,Consumer Non-Durables,Electronic Components,42.0%,36.7%,73.5%,54.4%
IVAN,"Ivanhoe Energy, Inc.",0.77,-24.0%,N/A,N/A,N/A,-0.63,-0.045,-0.18,Energy,Oil & Gas Production,-66.0%,-18.1%,-4.0%,-7.7%
XXIA,Ixia,15.21,41.8%,3.46,29.2,3.4%,4.39,0.563,-1.24,Capital Goods,Electrical Products,64.7%,63.5%,8.0%,30.7%
IXYS,IXYS Corporation,8.59,16.1%,0.95,9.4,10.6%,9.08,0.878,0.30,Technology,Semiconductors,23.7%,17.7%,13.2%,9.7%
JJSF,J & J Snack Foods Corp.,61.90,17.2%,1.35,13.6,7.3%,45.78,4.429,1.49,Consumer Non-Durables,Specialty Foods,17.2%,16.4%,15.5%,19.5%
MAYS,"J. W. Mays, Inc.",21.80,N/A,N/A,N/A,N/A,N/A,N/A,-5.51,Consumer Services,Building operators,N/A,N/A,N/A,N/A
JBHT,"J.B. Hunt Transport Services, Inc.",56.86,17.4%,2.30,18.2,5.5%,24.77,3.910,-14.33,Transportation,Trucking Freight/Courier Services,24.0%,15.0%,10.5%,20.1%
JCOM,"j2 Global, Inc.",30.68,265.4%,0.90,8.9,11.2%,34.08,3.231,1.77,Technology,Telecommunications Equipment,342.7%,280.6%,226.2%,212.0%
JKHY,"Jack Henry & Associates, Inc.",38.45,57.3%,1.33,12.8,7.8%,28.95,3.452,-5.57,Technology,EDP Services,59.1%,55.3%,57.6%,57.3%
JACK,Jack In The Box Inc.,28.35,0.5%,N/A,272.0,0.4%,-22.38,0.194,-24.31,Consumer Services,Restaurants,1.0%,0.8%,-3.9%,4.2%
JAKK,"JAKKS Pacific, Inc.",12.18,58.8%,0.52,4.9,20.6%,23.35,2.173,1.63,Consumer Non-Durables,Recreational Products/Toys,36.3%,85.0%,-0.1%,113.8%
JMBA,"Jamba, Inc.",2.09,-7.8%,N/A,N/A,N/A,-1.90,-0.106,-0.84,Consumer Services,Restaurants,-11.4%,-10.6%,-4.6%,-4.7%
JRCC,James River Coal Company,3.57,3.1%,N/A,23.1,4.3%,-11.23,1.129,-22.52,Energy,Coal Mining,15.1%,12.6%,-5.1%,-10.4%
JAZZ,Jazz Pharmaceuticals plc,50.99,198.7%,11.40,176.5,0.6%,4.47,0.279,1.68,Consumer Durables,Major Pharmaceuticals,2180.1%,894.0%,-254.3%,-2025.0%
JDAS,"JDA Software Group, Inc.",44.95,63.6%,2.96,24.8,4.0%,15.21,2.016,-4.95,Technology,EDP Services,90.7%,39.1%,89.1%,35.5%
JDSU,JDS Uniphase Corporation,12.58,12.5%,3.31,31.2,3.2%,3.80,0.414,-0.34,Technology,Semiconductors,8.7%,21.1%,11.6%,8.4%
JBLU,JetBlue Airways Corporation,5.53,-1.7%,N/A,N/A,N/A,-17.96,-0.358,-14.38,Transportation,Air Freight/Delivery Services,2.1%,0.9%,0.5%,-10.4%
JCTCF,Jewett-Cameron Trading Company,12.00,80.4%,0.42,3.6,27.9%,28.50,2.573,2.77,Consumer Services,RETAIL: Building Materials,115.3%,35.3%,75.0%,96.1%
DATE,Jiayuan.com International Ltd.,4.60,N/A,N/A,N/A,N/A,N/A,N/A,6.61,Technology,EDP Services,435.6%,964.6%,496.5%,N/A
JST,Jinpan International Limited,5.81,43.5%,0.49,6.3,15.9%,11.87,1.626,-4.39,Consumer Durables,Electrical Products,4.5%,68.3%,0.9%,100.2%
JIVE,"Jive Software, Inc.",13.18,N/A,N/A,N/A,N/A,N/A,N/A,1.14,Technology,EDP Services,-154.3%,-229.3%,N/A,N/A
JOEZ,Joe&#39;s Jeans Inc.,1.00,67.0%,1.56,14.4,6.9%,0.64,0.082,-0.18,Consumer Non-Durables,Apparel,127.1%,-35.1%,-159.1%,335.3%
JBSS,"John B. Sanfilippo & Son, Inc.",17.95,0.7%,N/A,198.2,0.5%,-13.94,0.169,-15.63,Consumer Non-Durables,Specialty Foods,-0.9%,-7.7%,6.6%,4.6%
JOUT,Johnson Outdoors Inc.,19.88,5.6%,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Recreational Products/Toys,20.8%,-10.5%,18.7%,-6.6%
JOSB,"Jos. A. Bank Clothiers, Inc.",42.28,44.2%,0.78,7.6,13.1%,54.46,5.093,3.54,Consumer Services,Clothing/Shoe/Accessory Stores,43.7%,51.9%,42.0%,39.0%
KALU,Kaiser Aluminum Corporation,60.50,15.9%,3.50,21.5,4.6%,17.28,3.749,-20.20,Capital Goods,Metal Fabrications,8.9%,10.9%,43.8%,0.1%
KNDI,"Kandi Technolgies, Corp.",3.60,23.1%,1.61,13.6,7.4%,2.24,0.382,-1.59,Capital Goods,Auto Manufacturing,24.4%,5.7%,-15.1%,77.3%
KYAK,Kayak Software Corporation,39.71,N/A,N/A,N/A,N/A,N/A,N/A,-6.05,Miscellaneous,Business Services,335.7%,359.4%,128.2%,N/A
KELYA,"Kelly Services, Inc.",14.95,-2.5%,N/A,N/A,N/A,-23.23,-0.217,-21.06,Technology,Professional Services,-6.3%,5.0%,-26.7%,18.2%
KERX,"Keryx Biopharmaceuticals, Inc.",2.80,-1507.5%,N/A,N/A,N/A,-1.42,-0.179,0.38,Consumer Durables,Major Pharmaceuticals,-2869.9%,-2101.4%,-725.4%,-333.2%
KEQU,Kewaunee Scientific Corporation,11.99,2.6%,N/A,49.8,2.0%,-5.50,0.439,-9.89,Capital Goods,Medical Specialities,7.9%,-5.1%,6.4%,1.1%
KTEC,"Key Technology, Inc.",10.18,13.4%,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Industrial Machinery/Components,4.5%,29.8%,-15.5%,34.6%
KTCC,Key Tronic Corporation,9.21,-5.7%,N/A,N/A,N/A,-10.04,-0.319,-6.85,Technology,Computer peripheral equipment,-15.1%,-13.4%,-5.4%,11.0%
KEYN,"Keynote Systems, Inc.",13.46,-5.2%,N/A,N/A,N/A,N/A,N/A,N/A,Miscellaneous,Business Services,18.5%,-42.1%,4.0%,-1.0%
KFRC,"Kforce, Inc.",13.15,180.0%,0.32,3.9,25.7%,41.41,4.630,-4.88,Technology,Professional Services,78.9%,147.1%,163.4%,330.5%
KBALB,"Kimball International, Inc.",11.14,-1.3%,N/A,N/A,N/A,-5.43,-0.191,-3.52,Consumer Durables,Office Equipment/Supplies/Services,1.7%,-6.0%,-8.4%,7.4%
KGJI,Kingold Jewelry Inc.,1.22,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,Miscellaneous,Business Services,-64.3%,38.4%,N/A,N/A
KONE,Kingtone Wirelessinfo Solution Holding Ltd,2.85,N/A,N/A,N/A,N/A,N/A,N/A,3.62,Technology,EDP Services,-45.4%,32.8%,201.6%,N/A
KIOR,"KiOR, Inc.",6.15,N/A,N/A,N/A,N/A,N/A,N/A,0.52,Basic Industries,Major Chemicals,-145.1%,-286.6%,N/A,N/A
KIPS,"Kips Bay Medical, Inc.",1.30,N/A,N/A,N/A,N/A,N/A,N/A,0.54,Health Care,Medical/Dental Instruments,-1241.8%,-1104.1%,-1148.7%,N/A
KIRK,"Kirkland&#39;s, Inc.",9.64,28.0%,0.39,3.9,25.7%,24.91,2.501,-0.11,Consumer Services,Other Specialty Stores,27.8%,32.4%,39.8%,12.0%
KITD,"KIT digital, Inc.",0.63,-314.2%,N/A,N/A,N/A,-14.09,-1.249,-1.60,Consumer Services,Diversified Commercial Services,-118.4%,-324.5%,-302.4%,-511.6%
KLAC,KLA-Tencor Corporation,47.18,88.8%,1.05,10.5,9.5%,45.11,4.061,4.50,Capital Goods,Electronic Components,144.5%,144.8%,62.3%,3.7%
VLCCF,Knightsbridge Tankers Limited,5.48,1.3%,N/A,28.2,3.5%,-0.68,0.339,-4.07,Consumer Services,Marine Transportation,-3.5%,1.9%,-1.4%,8.1%
KONA,"Kona Grill, Inc.",8.16,-0.5%,N/A,N/A,N/A,-2.35,-0.036,-1.99,Consumer Services,Restaurants,1.9%,-2.2%,-2.6%,1.1%
KONG,KongZhong Corporation,5.81,195.1%,0.38,1.2,81.1%,15.41,1.095,4.46,Technology,Telecommunications Equipment,275.2%,257.8%,136.0%,111.3%
KOPN,Kopin Corporation,3.15,6.7%,2.02,59.0,1.7%,1.56,0.033,1.23,Technology,Semiconductors,6.6%,25.6%,10.8%,-16.3%
KOSS,Koss Corporation,4.95,31.2%,2.66,19.0,5.3%,1.86,0.343,-1.57,Consumer Non-Durables,Consumer Electronics/Appliances,64.5%,61.8%,-15.3%,13.7%
KRFT,"Kraft Foods Group, Inc.",46.62,N/A,N/A,N/A,N/A,N/A,N/A,-8.34,Consumer Non-Durables,Packaged Foods,37.7%,N/A,N/A,N/A
KTOS,"Kratos Defense & Security Solutions, Inc.",4.72,47.3%,N/A,24.3,4.1%,-6.72,0.799,-14.71,Consumer Services,Telecommunications Equipment,1.3%,88.1%,144.5%,-44.8%
KSWS,K-Swiss Inc.,3.02,-85.1%,N/A,N/A,N/A,-10.74,-1.074,-0.01,Consumer Non-Durables,Shoe Manufacturing,-209.9%,-101.7%,-71.3%,42.7%
KUTV,"Ku6 Media Co., Ltd.",1.05,-203.9%,N/A,N/A,N/A,-8.38,-0.787,-0.51,Consumer Services,Telecommunications Equipment,-307.4%,-416.4%,-24.3%,-67.6%
KLIC,"Kulicke and Soffa Industries, Inc.",11.50,123.3%,0.62,5.3,18.8%,18.44,1.487,3.57,Technology,Semiconductors,224.5%,273.6%,81.8%,-87.0%
KVHI,"KVH Industries, Inc.",11.55,-4.4%,N/A,N/A,N/A,-2.27,-0.182,-0.45,Technology,Radio And Television Broadcasting And Communications Equipment,-7.0%,8.7%,-7.9%,-11.3%
KYTH,"Kythera Biopharmaceuticals, Inc.",25.88,N/A,N/A,N/A,N/A,N/A,N/A,4.80,Consumer Durables,Major Pharmaceuticals,-4691.9%,N/A,N/A,N/A
LLEN,"L&L Energy, Inc.",1.93,240.4%,0.02,0.3,329.7%,111.95,11.346,-1.51,Energy,Coal Mining,9.0%,43.3%,379.4%,530.1%
FSTR,L.B. Foster Company,42.24,35.9%,1.00,10.0,10.0%,42.30,4.589,-3.58,Basic Industries,Metal Fabrications,24.8%,60.1%,26.4%,32.3%
LAKE,"Lakeland Industries, Inc.",5.20,14.5%,1.95,13.6,7.4%,2.66,0.706,-4.40,Health Care,Industrial Specialties,-11.0%,-10.8%,74.2%,5.5%
LACO,"Lakes Entertainment, Inc.",2.84,14.5%,1.66,32.2,3.1%,1.71,0.051,1.20,Consumer Services,Services-Misc. Amusement & Recreation,81.5%,85.1%,79.4%,-187.9%
LRCX,Lam Research Corporation,36.37,83.7%,0.79,7.9,12.7%,46.05,4.611,-0.06,Technology,Industrial Machinery/Components,80.2%,190.8%,82.3%,-18.6%
LAMR,Lamar Advertising Company,40.43,1.1%,N/A,196.0,0.5%,-23.82,0.345,-27.28,Technology,Advertising,1.6%,0.6%,-1.1%,3.4%
LANC,Lancaster Colony Corporation,68.41,37.6%,1.14,11.4,8.7%,60.11,5.743,2.68,Consumer Non-Durables,Packaged Foods,32.7%,44.5%,35.4%,37.7%
LNDC,Landec Corporation,9.61,20.8%,2.51,17.3,5.8%,3.83,0.788,-4.04,Basic Industries,Major Chemicals,26.5%,14.5%,15.8%,26.3%
