Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
CACGU,Chart Acquisition Corp.,10.0,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHTR,"Charter Communications, Inc.",78.04,False,False,True,True,True,0.055,-0.079,N/A,45.5,0.022,-99.95,5.014,-150.09,Consumer Services,Television Services,15.605,15.605,0.000,7.204,7.204,0.000,-0.241,1.492,2.820,0.154,0.218,-0.079,-0.074
CHFN,Charter Financial Corp.,11.43,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,1.03222,1.03222,0.000,None,0.061016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHKP,Check Point Software Technologies Ltd.,50.98,False,False,True,False,True,8.174,7.990,N/A,N/A,N/A,N/A,N/A,1.43,Technology,Computer Software: Prepackaged Software,4.552393,4.128063,0.425,1.342695,1.246986,0.321,N/A,N/A,0.185,9.455,8.888,8.343,6.011
CHTP,"Chelsea Therapeutics International, Ltd.",0.8107,False,True,True,True,True,-117.601,-117.802,N/A,N/A,N/A,-11.50,-1.198,0.48,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.046902,0.046903,0.000,0.0,None,N/A,1.675,1.132,0.200,-105.682,-106.542,-105.259,-152.922
CEMI,"Chembio Diagnostics, Inc.",5.3198,False,False,False,True,True,-0.386,-1.161,N/A,N/A,N/A,-1.58,-0.159,0.00,Consumer Durables,Major Pharmaceuticals,0.015485,0.015486,0.000,0.019388,0.019388,0.000,0.683,0.386,1.837,-1.161,0.382,0.017,-0.781
CHFC,Chemical Financial Corporation,24.6,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,5.917252,None,N/A,None,0.259642,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CCXI,"ChemoCentryx, Inc.",11.7,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.79,Consumer Durables,Major Pharmaceuticals,0.101567,0.101551,0.001,0.031673,0.031673,0.000,N/A,N/A,N/A,0.183,2.715,N/A,N/A
CHMG,Chemung Financial Corp,29.5,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,None,1.21626,N/A,None,0.068112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHKE,Cherokee Inc.,13.95,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.36,Consumer Non-Durables,Apparel,0.021224,0.021224,0.000,0.025604,0.025604,0.000,N/A,N/A,N/A,N/A,N/A,22.949,28.764
CHEV,Cheviot Financial Corp,10.2101,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,0.631982,0.616304,0.109,None,0.025126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBNK,"Chicopee Bancorp, Inc.",15.95,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Banks,0.599982,0.616306,0.117,None,0.0275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CADC,"China Advanced Construction Materials Group, Inc.",0.5251,False,False,True,True,True,-0.073,-0.307,N/A,N/A,N/A,-6.06,-0.179,-4.27,Basic Industries,Engineering & Construction,0.16421,0.164211,0.000,0.145142,0.145143,0.000,0.724,1.006,2.631,-0.307,-0.126,-0.001,0.143
CALI,China Auto Logistics Inc.,3.1,False,False,False,True,True,2.100,-2.615,N/A,31.3,0.032,-20.66,1.114,-31.80,Consumer Services,Motor Vehicles,0.201165,0.201165,0.000,0.452149,0.45215,0.000,0.701,0.662,4.715,-6.725,14.132,6.253,-5.261
CBAK,"China BAK Battery, Inc.",1.69,False,False,False,True,True,-0.032,-0.136,N/A,N/A,N/A,-38.32,-1.008,-28.24,Energy,Industrial Machinery/Components,0.442949,0.44295,0.000,0.20567,0.205671,0.000,0.599,0.070,2.845,-0.078,0.023,-0.136,0.063
CHOP,China Gerui Advanced Materials Group Limited,2.33,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.08,Capital Goods,Steel/Iron Ore,0.601076,0.601076,0.000,0.341778,0.341778,0.000,N/A,N/A,N/A,0.665,1.357,1.477,N/A
CGEI,China Growth Equity Investment Ltd.,10.05,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,0.050873,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CGEIU,China Growth Equity Investment Ltd.,10.15,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CGEIW,China Growth Equity Investment Ltd.,0.25,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HGSH,"China HGS Real Estate, Inc.",3.71,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.93,Finance,Real Estate,0.119714,0.119715,0.000,0.017676,0.018857,0.281,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHLN,"China Housing & Land Development, Inc.",1.32,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-6.04,Basic Industries,Homebuilding,0.468755,0.468756,0.000,0.120666,0.122804,0.076,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CJJD,"China Jo-Jo Drugstores, Inc.",0.91,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.18,Health Care,Medical/Nursing Services,0.074961,0.074961,0.000,0.094352,0.094353,0.000,N/A,N/A,N/A,2.681,-0.631,N/A,N/A
CMGE,China Mobile Games and Entertainment Group Limited,3.61,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Computer Software: Prepackaged Software,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NKBP,China Nuokang Bio-Pharmaceutical Inc.,5.66,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.98,Consumer Durables,Major Pharmaceuticals,0.111583,0.111585,0.000,0.04471,0.045801,0.105,N/A,N/A,N/A,0.400,-0.156,0.055,N/A
CPSL,"China Precision Steel, Inc.",2.1,False,False,False,True,True,-0.097,-0.328,N/A,N/A,N/A,-42.35,-2.558,-16.77,Basic Industries,Steel/Iron Ore,0.185546,0.185546,0.000,0.142973,0.142974,0.000,0.521,0.352,1.993,-0.082,-0.328,-0.125,0.145
CREG,China Recycling Energy Corporation,1.06,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.93,Miscellaneous,Business Services,0.233573,0.208013,0.503,0.031289,0.03129,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPGI,"China Shengda Packaging Group, Inc.",1.15,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.30,Consumer Durables,Containers/Packaging,0.13743,0.137431,0.000,0.12395,0.123951,0.000,N/A,N/A,N/A,-0.281,0.795,0.811,N/A
CCIH,ChinaCache International Holdings Ltd.,3.89,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.36,Technology,EDP Services,0.134572,None,N/A,0.095917,0.098256,0.105,N/A,N/A,N/A,0.084,0.171,0.067,N/A
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,11.18,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.53,Technology,Semiconductors,0.934015,0.934016,0.000,0.649719,0.601438,0.335,N/A,N/A,N/A,N/A,0.045,-0.090,N/A
CHSCP,CHS Inc,31.47,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Farming/Seeds/Milling,None,None,N/A,None,40.599286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHUY,"Chuy's Holdings, Inc.",30.2,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.04,Consumer Services,Restaurants,0.108592,None,N/A,0.130583,None,N/A,N/A,N/A,N/A,0.404,0.522,N/A,N/A
CHYR,Chyron Corporation,1.17,False,False,False,True,True,-1.116,-3.310,N/A,N/A,N/A,-4.33,-0.389,-0.44,Miscellaneous,Industrial Machinery/Components,0.035806,0.035806,0.000,0.031587,0.031587,0.000,0.690,0.814,2.194,0.303,0.064,-0.050,-4.783
CIEN,CIENA Corporation,15.87,False,False,False,True,True,-0.248,-0.770,N/A,N/A,N/A,-24.61,-1.193,-12.68,Public Utilities,Telecommunications Equipment,1.881143,1.881143,0.000,1.833923,1.833923,0.000,0.423,0.290,1.595,0.161,-0.302,-0.770,-0.081
DFR,CIFC Corp.,9.05,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-361.82,Finance,Finance: Consumer Services,8.465718,8.442592,0.012,0.170955,0.014437,10.734,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CINF,Cincinnati Financial Corporation,43.5,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,16.064,15.668,0.108,3.86,3.803,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIDM,Cinedigm Digital Cinema Corp,1.6,False,False,False,True,True,-0.015,-0.069,N/A,N/A,N/A,-6.88,-0.113,-5.75,Miscellaneous,Business Services,0.290137,0.290137,0.000,0.076557,0.076557,0.000,0.175,0.227,2.487,0.009,-0.007,-0.069,0.007
CISAU,CIS Acquisition Ltd.,10.04,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CZNC,Citizens & Northern Corp,19.86,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.286907,1.323735,0.123,None,0.07741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CZWI,"Citizens Community Bancorp, Inc.",6.5899,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,0.531089,0.530183,0.007,None,0.028757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CZFC,Citizens First Corporation,9.64,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.406556,None,N/A,None,0.02058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIZN,Citizens Holding Company,19.0098,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.88084,0.853945,0.135,None,0.044416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRBC,"Citizens Republic Bancorp, Inc.",20.55,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,9.586683,9.462849,0.056,None,0.503076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTXS,"Citrix Systems, Inc.",74.03,False,False,True,False,True,1.136,0.997,N/A,N/A,N/A,N/A,1.845,N/A,Technology,Computer Software: Prepackaged Software,4.763581,4.099541,0.652,2.586123,2.206392,0.690,-0.515,1.922,0.139,1.224,1.203,1.218,0.899
CHCO,City Holding Company,38.41,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,2.917466,2.777109,0.214,None,0.167748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CDTI,"Clean Diesel Technologies, Inc.",2.53,False,False,True,True,True,-6.538,-7.197,N/A,N/A,N/A,-155.11,-15.265,-2.46,Capital Goods,Pollution Control Equipment,0.041115,0.041115,0.000,0.061607,0.061607,0.000,3.631,6.972,0.659,-0.959,-6.513,-7.234,-11.447
CLNE,Clean Energy Fuels Corp.,12.78,False,False,False,True,True,-0.103,-0.143,N/A,N/A,N/A,-5.65,-0.425,-1.39,Public Utilities,Natural Gas Distribution,0.942707,0.942707,0.000,0.292717,0.292717,0.000,1.262,0.762,0.489,-0.143,-0.125,-0.030,-0.116
CLIR,ClearSign Combustion Corporation,4.62,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Industrial Machinery/Components,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLWR,Clearwire Corporation,3.19,False,False,True,True,True,-0.453,-0.595,N/A,N/A,N/A,-33.63,-2.748,-6.15,Consumer Services,Telecommunications Equipment,9.005201,8.842652,0.079,1.253466,1.253466,0.000,1.948,1.875,0.313,-0.262,-0.514,-0.442,-0.595
CBLI,"Cleveland BioLabs, Inc.",1.59,False,False,False,True,True,-5.348,-5.880,N/A,N/A,N/A,-2.77,-0.320,0.43,Health Care,Biotechnology: Commercial Physical & Biological Resarch,0.032126,0.032127,0.000,0.00879,0.00879,0.000,0.596,0.272,0.531,-7.371,-3.272,-2.564,-8.187
CSBK,"Clifton Savings Bancorp, Inc.",11.87,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,1.10217,1.10144,0.003,None,0.041987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLVS,"Clovis Oncology, Inc.",19.72,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.60,Consumer Durables,Major Pharmaceuticals,0.21339,0.143445,1.725,0.0,None,N/A,N/A,N/A,N/A,-38.370,-126.067,N/A,N/A
CMSB,"CMS Bancorp, Inc.",8.1,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Banks,0.264666,0.264666,0.000,None,0.012479,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CCNE,CNB Financial Corporation,17.2,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.773079,1.602207,0.440,None,0.076431,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COBZ,CoBiz Financial Inc.,8.22,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,2.653641,2.423504,0.394,None,0.14722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COBR,Cobra Electronics Corporation,4.03,False,False,False,True,True,0.132,-0.070,N/A,20.3,0.049,-1.31,0.520,-6.51,Technology,Radio And Television Broadcasting And Communications Equipment,0.080595,0.080595,0.000,0.123259,0.123259,0.000,-0.048,0.430,1.958,-0.070,-0.067,0.191,0.473
COKE,Coca-Cola Bottling Co. Consolidated,64.99,True,False,False,True,True,0.015,-0.003,N/A,111.9,0.009,-100.37,1.622,-116.59,Consumer Non-Durables,Beverages (Production/Distribution),1.36117,None,N/A,1.561239,1.561239,0.000,0.052,0.087,1.011,0.030,0.023,-0.003,0.008
CDXS,"Codexis, Inc.",2.39,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.54,Basic Industries,Major Chemicals,0.135922,None,N/A,0.123865,0.123865,0.000,N/A,N/A,N/A,-0.105,-0.512,-0.400,N/A
CVLY,"Codorus Valley Bancorp, Inc",15.96,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,1.059737,1.012132,0.200,None,0.052769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CCOI,"Cogent Communications Group, Inc.",25.03,False,False,False,True,True,-0.003,-0.010,N/A,N/A,N/A,-4.68,-0.054,-4.14,Technology,Computer Software: Prepackaged Software,0.597651,0.597651,0.000,0.3055,0.3055,0.000,0.431,0.056,1.587,-0.003,0.001,-0.010,-0.001
COGO,"Cogo Group, Inc.",2.38,False,False,False,True,True,-0.218,-3.430,N/A,N/A,N/A,-0.70,-0.053,-0.17,Capital Goods,Electrical Products,0.406742,0.406735,0.000,0.564737,0.564728,0.000,0.831,0.571,13.540,-3.430,-0.383,-0.760,3.704
COHU,"Cohu, Inc.",10.85,False,False,True,True,True,0.101,0.007,N/A,N/A,N/A,N/A,0.146,N/A,Capital Goods,Electrical Products,0.334873,0.361608,0.334,0.221162,0.308968,1.452,-0.794,1.884,0.918,0.040,0.154,0.007,0.201
CWTR,"Coldwater Creek, Inc.",3.69,False,False,False,True,True,-0.064,-0.171,N/A,N/A,N/A,-20.11,-1.207,-8.04,Consumer Services,Clothing/Shoe/Accessory Stores,0.413115,0.413115,0.000,0.761221,0.773021,0.067,0.154,0.320,1.488,-0.171,-0.102,-0.039,0.054
CCIX,"Coleman Cable, Inc.",10.28,False,False,False,True,True,0.256,-0.021,N/A,16.0,0.063,-1.27,1.941,-20.68,Basic Industries,Telecommunications Equipment,0.405736,0.405736,0.000,0.867356,0.867356,0.000,0.101,0.556,1.294,0.198,-0.021,0.112,0.734
JACQ,COLLABRIUM JAPAN ACQUISITION CORPORATION,9.0001,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JACQU,COLLABRIUM JAPAN ACQUISITION CORPORATION,10.1599,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JACQW,COLLABRIUM JAPAN ACQUISITION CORPORATION,0.14,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLRX,"CollabRx, Inc.",3.75,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.76,Technology,Industrial Machinery/Components,0.008662,0.008662,0.000,0.0001,0.0001,0.000,N/A,N/A,N/A,N/A,-0.111,-0.655,-0.749
COBK,"Colonial Financial Services, Inc.",13.4,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,0.605615,0.603814,0.013,None,0.025876,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBAN,"Colony Bankcorp, Inc.",5.39,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.198036,1.195376,0.010,None,0.061744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COLB,"Columbia Banking System, Inc.",20.47,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,4.906335,4.785945,0.108,None,0.241988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBRX,"Columbia Laboratories, Inc.",0.61,False,False,False,True,True,-1.947,-2.501,N/A,N/A,N/A,-0.88,-0.097,0.08,Consumer Durables,Major Pharmaceuticals,0.036082,0.036083,0.000,0.043062,0.043062,0.000,0.288,0.276,0.554,-0.442,-2.811,-2.636,-1.897
CBMX,CombiMatrix Corporation,4.34,False,False,True,True,True,-1.535,-3.043,N/A,N/A,N/A,-17.12,-2.048,3.37,Capital Goods,Biotechnology: Laboratory Analytical Instruments,0.009448,0.009448,0.000,0.004558,0.004558,0.000,-1.230,2.680,1.507,-3.923,1.628,-2.085,-1.761
CBMXW,CombiMatrix Corporation,0.28,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBSH,"Commerce Bancshares, Inc.",37.85,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,22.159589,20.649367,0.307,None,1.1017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CVGI,"Commercial Vehicle Group, Inc.",8.16,False,False,False,True,True,-0.060,-0.122,N/A,N/A,N/A,-14.37,-0.383,-10.54,Capital Goods,Auto Parts:O.E.M.,0.406884,0.406884,0.000,0.832022,0.832022,0.000,-0.056,0.732,0.943,-0.030,0.003,-0.090,-0.122
CBIN,"Community Bank Shares of Indiana, Inc.",14.4254,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.8195,0.797354,0.119,None,0.042722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPBC,Community Partners Bancorp,6.29,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.733895,0.674554,0.366,None,0.033771,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTBI,"Community Trust Bancorp, Inc.",34.13,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,3.635664,3.591179,0.053,None,0.202292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CWBC,Community West Bancshares,4.8,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.532101,0.633348,0.756,None,0.039656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GNOM,"Complete Genomics, Inc.",3.12,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.03,Health Care,Biotechnology: Commercial Physical & Biological Resarch,0.130203,0.130203,0.000,0.019344,0.019344,0.000,N/A,N/A,N/A,-1.497,-1.694,-2.501,N/A
GSJK,"Compressco Partners, L.P.",19.5,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,Energy,Oilfield Services/Equipment,0.206344,0.206344,0.000,0.095179,0.095179,0.000,N/A,N/A,N/A,0.044,0.057,N/A,N/A
CGEN,Compugen Ltd.,5.53,False,True,False,True,True,-0.975,-1.208,N/A,N/A,N/A,-1.95,-0.230,0.35,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.029081,0.029081,0.000,0.0,None,N/A,-0.048,0.147,0.292,-1.182,-0.597,-0.915,-1.208
CPSI,"Computer Programs and Systems, Inc.",48.0,False,False,True,False,True,1.806,1.506,N/A,N/A,N/A,N/A,4.326,N/A,Technology,EDP Services,0.07784,0.075645,0.124,0.183309,0.173476,0.239,0.854,1.131,0.301,1.339,2.437,2.082,1.367
CHCI,"Comstock Holding Companies, Inc.",1.34,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.18,Capital Goods,Homebuilding,0.046379,0.046379,0.000,0.022209,0.022209,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNSI,Comverse Inc.,29.05,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Miscellaneous,Business Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPTS,"Conceptus, Inc.",21.88,False,False,False,True,True,-0.114,-3.337,N/A,N/A,N/A,-1.17,-0.091,-0.25,Health Care,Medical/Dental Instruments,0.263584,0.263584,0.000,0.126981,0.126981,0.000,0.900,0.389,19.542,0.800,-3.337,1.755,0.326
CTWS,"Connecticut Water Service, Inc.",29.74,False,False,False,True,True,-0.054,-0.063,N/A,N/A,N/A,-58.07,-2.529,-32.78,Public Utilities,Water Supply,0.464831,0.464831,0.000,0.069402,0.069402,0.000,0.268,0.067,0.157,-0.044,-0.063,-0.050,-0.059
CONN,"Conn's, Inc.",28.52,True,False,False,True,True,0.035,-0.331,N/A,322.1,0.003,-10.82,0.126,-12.08,Consumer Services,Consumer Electronics/Video Chains,0.783298,None,N/A,0.792302,0.792302,0.000,0.102,0.262,11.727,0.395,0.376,-0.302,-0.331
CNSL,"Consolidated Communications Holdings, Inc.",17.42,False,False,False,True,True,0.022,-0.010,N/A,75.1,0.013,-20.28,0.579,-26.07,Public Utilities,Telecommunications Equipment,1.194069,1.194069,0.000,0.374263,0.374263,0.000,-0.044,0.315,1.006,0.041,0.025,0.032,-0.010
CTCT,"Constant Contact, Inc.",14.55,False,False,True,False,True,0.501,0.372,N/A,N/A,N/A,N/A,0.650,N/A,Technology,Advertising,0.257262,0.221378,0.652,0.252154,0.21442,0.704,0.399,2.112,0.278,0.466,0.372,0.466,0.699
CPSS,"Consumer Portfolio Services, Inc.",6.86,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-37.51,Finance,Finance: Consumer Services,0.891747,0.89005,0.008,0.143131,0.143131,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPNO,"Copano Energy, L.L.C.",38.7,False,False,False,True,True,0.030,0.015,N/A,108.1,0.009,-12.76,0.524,-18.00,Public Utilities,Natural Gas Distribution,2.064597,2.064597,0.000,1.381272,1.345223,0.115,0.605,0.282,0.484,0.034,0.022,0.048,0.015
CORT,Corcept Therapeutics Incorporated,2.12,False,True,True,True,True,-409.537,-409.782,N/A,N/A,N/A,-2.77,-0.312,0.35,Consumer Durables,Major Pharmaceuticals,0.039833,0.039833,0.000,0.0,None,N/A,0.275,1.016,0.244,-537.355,-437.061,-352.414,-311.320
CSOD,"Cornerstone OnDemand, Inc.",33.97,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,Technology,Computer Software: Prepackaged Software,0.135362,0.135362,0.000,0.073022,0.073022,0.000,N/A,N/A,N/A,0.122,-0.044,N/A,N/A
CNDO,"Coronado Biosciences, Inc.",7.33,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78,Consumer Durables,Major Pharmaceuticals,0.023375,0.023375,0.000,0.0,None,N/A,N/A,N/A,N/A,-267.222,-202.850,N/A,N/A
COSI,"Cosi, Inc.",0.83,False,False,False,True,True,-0.114,-0.145,N/A,N/A,N/A,-1.28,-0.112,-0.16,Consumer Services,Restaurants,0.024705,0.024705,0.000,0.102135,0.102135,0.000,-0.297,0.440,0.242,-0.119,-0.145,-0.113,-0.078
CPAH,CounterPath Corporation,1.9999,False,False,False,True,True,-1.723,-2.634,N/A,N/A,N/A,-0.83,-0.088,0.05,Miscellaneous,Business Services,0.021543,0.021544,0.000,0.014083,0.014083,0.000,0.209,0.073,0.911,-0.252,-0.819,-2.018,-3.803
CVTI,"Covenant Transportation Group, Inc.",6.13,False,False,True,True,True,0.008,-0.013,N/A,N/A,N/A,N/A,N/A,N/A,Transportation,Trucking Freight/Courier Services,0.400232,0.439825,0.410,0.674254,0.652627,0.142,N/A,N/A,3.699,-0.013,0.052,-0.007,0.000
COWN,"Cowen Group, Inc.",2.69,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-7.14,Finance,Investment Bankers/Brokers/Service,1.560399,1.535838,0.069,0.254714,0.226292,0.514,N/A,N/A,N/A,N/A,N/A,N/A,N/A
